"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"","","","","","Hospital-Based Outpatient Care","","","","","","","","",""
"","","","","","Infant Care Clinics","","","","","","","","",""
"","","","","","Infant Centers","","","","","","","","",""
"","","","","","Medical Testing Laboratories","","","","","","","","",""
"","","","","","Mobile Dental Care","","","","","","","","",""
"","","","","","Naturopathic Medicine","","","","","","","","",""
"","","","","","Neonatal Care Clinics","","","","","","","","",""
"","","","","","Neonatal Centers","","","","","","","","",""
"","","","","","Optometry Clinics","","","","","","","","",""
"","","","","","Outpatient Care","","","","","","","","",""
"","","","","","Outpatient Surgery","","","","","","","","",""
"","","","","","Pain Management","","","","","","","","",""
"","","","","","Podiatry","","","","","","","","",""
"","","","","","Rural Health Care","","","","","","","","",""
"","","","","","Rural Medical Service","","","","","","","","",""
"","","","","","Traditional Healing Arts","","","","","","","","",""
"","","","","","Well Baby Care","","","","","","","","",""
"","","","","","Well Baby Clinics","","","","","","","","",""
"","","","","","Well-Baby Care","","","","","","","","",""
"","","","","","Well-Baby Clinics","","","","","","","","",""
"5bb3ae28da3c38c71367bcde","E31","Group Health Practices","Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.","","Group Health Practices","","","","","","","","","5bb3ae28da3c38c71367bcdd"
"","","","","","Health Maintenance Organizations","","","","","","","","",""
"","","","","","HMOs","","","","","","","","",""
"","","","","","Managed Care","","","","","","","","",""
"","","","","","Managed Health Care","","","","","","","","",""
"","","","","","Primary Health Care Providers","","","","","","","","",""
"5bb3ae28da3c38c71367bcdf","E32","Community Clinics","Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.","","Ambulatory Health Centers","","","","","","","","","5bb3ae28da3c38c71367bcdd"
"","","","","","Clinics","","","","","","","","",""
"","","","","","Community Clinics","","","","","","","","",""
"","","","","","Community Health Centers","","","","","","","","",""
"","","","","","Community Health Clinics","","","","","","","","",""
"","","","","","Free Clinics","","","","","","","","",""
"","","","","","Health Centers","","","","","","","","",""
"","","","","","Health Clinics","","","","","","","","",""
"","","","","","Mobile Health Care","","","","","","","","",""
"","","","","","Walk-in Clinics","","","","","","","","",""
"5bb3ae28da3c38c71367bce0","E40","Reproductive Health Care","Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. ","","Abortion Clinics","5bb3ae28da3c38c71367bce1","5c929881a4f5428e5fce6afa","","","","","","","5bc787d9da3c38f0620b0243"
"","","","","","Alternative Birthing Services","","","","","","","","",""
"","","","","","Birth Education","","","","","","","","",""
"","","","","","Birth Orientation","","","","","","","","",""
"","","","","","Birthing Centers","","","","","","","","",""
"","","","","","Childbirth Preparation Centers","","","","","","","","",""
"","","","","","Delivery/Childbirth Services","","","","","","","","",""
"","","","","","Early Pregnancy Classes","","","","","","","","",""
"","","","","","Fertility Treatment Centers","","","","","","","","",""
"","","","","","Genetic Counseling","","","","","","","","",""
"","","","","","Human Sexuality Counseling","","","","","","","","",""
"","","","","","Human Sexuality Education","","","","","","","","",""
"","","","","","Infertility Treatment","","","","","","","","",""
"","","","","","Lamaze","","","","","","","","",""
"","","","","","Maternal and Infant Care","","","","","","","","",""
"","","","","","Maternity Care","","","","","","","","",""
"","","","","","Midwifery","","","","","","","","",""
"","","","","","Natural Childbirth Education","","","","","","","","",""
"","","","","","Neonatal Care","","","","","","","","",""
"","","","","","Newborn Infant Care","","","","","","","","",""
"","","","","","Obstetrics and Gynecology Clinics","","","","","","","","",""
"","","","","","Post Abortion Care","","","","","","","","",""
"","","","","","Postpartum Care","","","","","","","","",""
"","","","","","Pregnancy Termination Clinics","","","","","","","","",""
"","","","","","Prenatal Care Centers","","","","","","","","",""
"","","","","","Prenatal Counseling","","","","","","","","",""
"","","","","","Pro-Choice Counseling","","","","","","","","",""
"","","","","","Pro-Life Counseling","","","","","","","","",""
"","","","","","Right to Life Counseling","","","","","","","","",""
"","","","","","Safe Sex","","","","","","","","",""
"","","","","","Sex Education","","","","","","","","",""
"","","","","","Voluntary Sterilization Centers","","","","","","","","",""
"","","","","","Sterilization","","","","","","","","",""
"","","","","","Womens Health Centers","","","","","","","","",""
"5bb3ae28da3c38c71367bce1","E42","Family Planning","Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. ","","Birth Control","","","","","","","","","5bb3ae28da3c38c71367bce0"
"","","","","","Birth Spacing","","","","","","","","",""
"","","","","","Contraception","","","","","","","","",""
"","","","","","Contraceptives","","","","","","","","",""
"","","","","","Family Planning","","","","","","","","",""
"","","","","","Natural Family Planning","","","","","","","","",""
"","","","","","Planned Parenthood","","","","","","","","",""
"","","","","","Pregnancy Prevention","","","","","","","","",""
"5bb3ae28da3c38c71367bce2","E50","Rehabilitative Care","Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. ","","Art Therapy","","","","","","","","","5bc787d9da3c38f0620b0243"
"","","","","","Audiological evaluations","","","","","","","","",""
"","","","","","Auditory Training","","","","","","","","",""
"","","","","","Corrective Therapy","","","","","","","","",""
"","","","","","Cued Speech Instruction","","","","","","","","",""
"","","","","","Easter Seal Societies","","","","","","","","",""
"","","","","","Equestrian Therapy","","","","","","","","",""
"","","","","","Equine-facilitated Therapy","","","","","","","","",""
"","","","","","Equine Therapy","","","","","","","","",""
"","","","","","Dance Therapy","","","","","","","","",""
"","","","","","Easter Seal Society","","","","","","","","",""
"","","","","","Finger Spelling Instruction","","","","","","","","",""
"","","","","","Hippo Therapy","","","","","","","","",""
"","","","","","Horse Therapy","","","","","","","","",""
"","","","","","Hydrotherapy","","","","","","","","",""
"","","","","","Kinesiology","","","","","","","","",""
"","","","","","Language Therapy","","","","","","","","",""
"","","","","","Music Therapy","","","","","","","","",""
"","","","","","Occupational Therapy","","","","","","","","",""
"","","","","","Oral Communication Instruction","","","","","","","","",""
"","","","","","Pediatric Occupational Therapy","","","","","","","","",""
"","","","","","Physical Therapy","","","","","","","","",""
"","","","","","Sign Language Instruction","","","","","","","","",""
